Edades,Hombres,Mujeres
00Êa–os,3626,3527
01Êa–os,3830,3811
02Êa–os,4275,4043
03Êa–os,4330,4201
04Êa–os,4272,4081
05Êa–os,4159,4000
06Êa–os,4276,4119
07Êa–os,4248,4100
08Êa–os,4344,4071
09Êa–os,4193,4016
10Êa–os,4452,4259
11Êa–os,4059,3882
12Êa–os,4054,3859
13Êa–os,3895,3750
14Êa–os,4038,3943
15Êa–os,4361,4287
16Êa–os,4131,4155
17Êa–os,4610,4474
18Êa–os,4948,4916
19Êa–os,4278,4602
20Êa–os,4808,5074
21Êa–os,4279,4360
22Êa–os,4815,4799
23Êa–os,4392,4658
24Êa–os,4333,4572
25Êa–os,4546,4779
26Êa–os,4117,4507
27Êa–os,4182,4203
28Êa–os,4232,4438
29Êa–os,3604,3830
30Êa–os,4746,5064
31Êa–os,2941,3367
32Êa–os,3807,4353
33Êa–os,3527,3920
34Êa–os,3473,3808
35Êa–os,3888,4311
36Êa–os,3584,4221
37Êa–os,3395,3829
38Êa–os,3839,4416
39Êa–os,3107,3637
40Êa–os,4099,4906
41Êa–os,2480,2807
42Êa–os,3813,4093
43Êa–os,2825,3265
44Êa–os,2453,2875
45Êa–os,3454,3756
46Êa–os,2636,3179
47Êa–os,2693,2949
48Êa–os,2921,3353
49Êa–os,2547,2912
50Êa–os,3561,3916
51Êa–os,2020,2360
52Êa–os,2803,3077
53Êa–os,2317,2660
54Êa–os,2206,2643
55Êa–os,2423,2692
56Êa–os,2153,2330
57Êa–os,1760,1883
58Êa–os,1827,2090
59Êa–os,1672,1687
60Êa–os,2160,2311
61Êa–os,1121,1246
62Êa–os,1519,1642
63Êa–os,1462,1545
64Êa–os,1213,1392
65Êa–os,1281,1443
66Êa–os,935,971
67Êa–os,881,955
68Êa–os,927,999
69Êa–os,736,831
70Êa–os,958,1061
71Êa–os,468,484
72Êa–os,704,750
73Êa–os,550,628
74Êa–os,475,521
75Êa–os,469,600
76Êa–os,379,437
77Êa–os,273,358
78Êa–os,355,385
79Êa–os,233,310
80Êa–os,333,430
81Êa–os,155,202
82Êa–os,186,239
83Êa–os,142,245
84Êa–os,144,235
85Êa–os,147,236
86Êa–os,100,165
87Êa–os,80,149
88Êa–os,75,98
89Êa–os,50,89
90Êa–os,55,126
91Êa–os,29,41
92Êa–os,24,58
93Êa–os,18,49
94Êa–os,12,29
95Êa–os,16,28
96Êa–os,18,24
97Êa–os,7,32
98Êa–os,8,20
99Êa–os,7,11
100 a–os y m‡s,8,21
No especificado,2754,2742
